"AUC","AUC.diff","ORate.MPT","ORate.10PT","TSS.MPT","TSS.10PT","bio1.contribution","bio2.contribution","bio4.contribution","bio8.contribution","bio9.contribution","bio10.contribution","bio12.contribution","bio14.contribution","bio15.contribution","bio1.permutation.importance","bio2.permutation.importance","bio4.permutation.importance","bio8.permutation.importance","bio9.permutation.importance","bio10.permutation.importance","bio12.permutation.importance","bio14.permutation.importance","bio15.permutation.importance","nsamp"
0.885278848283499,0.0361688482834994,0.0238095238095238,0.0997785160575858,0.272890476190476,0.631021483942414,0.39848,18.20234,7.8124,0.79844,14.61028,21.06006,0.69924,15.71564,20.7032,4.30664,6.69242,12.56752,1.31184,18.48372,29.28132,1.34034,11.95642,14.0598,211
0.893002339181287,0.0302698830409357,0.0111111111111111,0.119883040935673,0.547888888888889,0.643416959064327,0.31568,24.40156,8.6816,3.02824,15.41576,7.21096,0.39778,17.89588,22.6525,0.02196,11.69788,18.06494,0,27.57448,18.77904,0.02902,10.40168,13.43098,91
0.883507423554706,0.019609532967033,0.00654562828475873,0.0827520305781175,0.0810543717152413,0.595147969421882,0.37314,17.3573,6.27688,1.36634,11.87096,25.7603,0.34706,14.76474,21.8833,5.89386,8.35464,12.3172,1.90656,10.84132,32.27544,1.28644,10.78632,16.33816,459
0.87973983974359,0.0172065705128205,0.00512820512820513,0.0912820512820513,0.198871794871795,0.641117948717949,0.5495,27.3132,6.54962,0.96014,12.1864,11.9964,0.48326,20.59372,19.36774,7.31744,10.71336,14.0301,2.70782,10.50622,29.24446,0.16198,11.78944,13.5292,197
0.885357397151899,0.0260988686708861,0.00253164556962024,0.0856645569620253,0.0943683544303798,0.616735443037975,0.43684,25.6397,7.70786,1.08352,15.4096,18.04976,0.48598,14.995,16.19172,7.38356,8.56746,15.59762,3.39164,14.7663,32.86436,0.45488,7.40506,9.5691,397
0.884321942032686,0.0112081703268642,0.00224719101123596,0.0788049029622064,0.077752808988764,0.628347906026558,0.2286,15.9409,6.62958,0.7349,14.48804,31.19248,0.47204,13.6442,16.66928,0,7.01714,10.13024,3.08644,18.26568,29.34796,2.20474,12.64338,17.30444,444
0.904655357142857,0.0262010714285714,0.0142857142857143,0.0928571428571429,0.237614285714286,0.700742857142857,0.69714,21.36708,7.41924,0.63636,20.14946,17.3788,0.35264,16.76848,15.23078,1.8355,10.38724,11.28682,3.09984,23.02012,30.90036,1.38862,13.12078,4.96066,140
0.878130022893773,0.0228681181318682,0.0019047619047619,0.0725274725274725,0.106895238095238,0.578972527472527,0.57378,21.39132,6.74042,1.38864,13.7499,21.62782,0.437,17.14272,16.94848,2.27516,6.70238,11.70544,5.0674,14.03466,30.70886,1.8257,11.72546,15.95496,524
0.868183786231884,0.0443954528985507,0.0166666666666667,0.12536231884058,0.0831333333333333,0.54773768115942,0.03944,29.3745,5.26892,0.78326,15.72994,17.58302,1.49654,16.09562,13.62876,0,18.58758,10.3067,4.6094,25.61056,23.17084,0.19002,9.30178,8.22312,119
0.881135135135135,0.0155502702702703,0.00360360360360361,0.0720720720720721,0.0973963963963964,0.612827927927928,0.71328,21.30478,6.6509,0.83868,14.92796,19.0699,0.78218,15.30284,20.40948,5.0836,5.85254,13.08212,3.38752,14.41236,30.79072,2.56176,9.93924,14.89014,555
0.886272955445545,0.0250796881188119,0.00596039603960397,0.0715445544554456,0.075339603960396,0.618555445544554,0.37722,22.3688,7.35974,0.96114,13.76918,18.52478,0.41532,16.03136,20.19254,6.57474,7.65358,14.81644,2.57338,12.65348,31.12996,1.0388,10.8681,12.69156,503
0.887923913043478,0.0216560869565218,0.00444444444444445,0.0925603864734299,0.163355555555556,0.59243961352657,0.29726,17.4671,7.87328,0.69458,15.18262,27.39834,0.2081,13.56524,17.31348,0.93358,8.88356,12.79058,2.9863,19.15732,29.88532,0.7376,9.19742,15.42838,226
0.884837551264525,0.0307425512645249,0.00263157894736843,0.0838687628161312,0.115468421052632,0.613431237183869,0.21594,22.87838,6.42158,0.93318,15.25768,21.27388,0.9544,17.68806,14.37692,0,11.41656,11.19684,3.83074,17.8058,28.54156,1.69324,14.50426,11.011,382
0.893810967230444,0.0178708509513742,0.00909090909090908,0.086892177589852,0.204709090909091,0.651807822410148,0.64706,21.95598,7.85416,0.29614,15.80172,12.93924,0.54206,18.0147,21.949,3.25388,7.63836,14.52836,0.85514,17.42136,25.4646,1.4901,13.29662,16.0516,219
0.880525,0.0124322413793104,0.00689655172413794,0.0758620689655172,0.0733034482758621,0.603337931034483,0.25178,15.7954,5.63746,0.76824,13.51464,26.14326,0.59662,16.92132,20.37126,5.16738,10.28872,9.78264,2.5884,10.21554,28.24148,1.8644,14.64902,17.20246,290
0.870833974358974,0.0449260256410257,0.0666666666666667,0.148717948717949,0.521833333333333,0.578882051282051,0.62558,11.86038,9.30512,7.1195,12.71692,14.1709,0.18514,20.56046,23.456,3.5563,6.59024,15.52978,0.05474,23.88424,22.1388,0.15782,12.70182,15.3862,61
