"","lon","lat","bio_1","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9"
"423",-99.16435,27.56309,225,299,137,495,89,17,49,188,67,133,73,136,43,6299,373,61,312,271,156
"424",-99.32644,28.55791,216,293,127,564,80,23,44,208,77,155,81,136,42,6442,368,50,318,263,146
"425",-99.53042,27.61436,230,306,142,445,83,14,52,174,56,119,62,133,42,6374,378,66,312,277,161
"426",-98.73962,29.24567,208,286,120,685,95,33,37,230,112,173,114,131,41,6471,357,44,313,257,130
"427",-98.64937,29.27242,209,288,121,668,93,32,37,223,109,163,114,128,41,6520,358,47,311,258,131
"428",-98.99918,26.61186,228,298,144,536,110,16,56,218,68,156,76,129,43,5986,370,71,299,271,162
"429",-99.17863,28.69106,213,291,124,593,85,26,40,205,86,164,91,139,43,6474,366,44,322,253,142
"430",-99.36001,28.03396,222,301,133,541,87,25,44,201,78,147,78,140,43,6488,377,57,320,268,152
"431",-97.68557,28.25418,217,288,134,795,128,30,40,279,124,233,132,119,40,5990,354,62,292,264,148
"432",-99.17866,28.69106,213,291,124,593,85,26,40,205,86,164,91,139,43,6474,366,44,322,253,142
"433",-98.55148,29.24664,209,289,122,668,94,32,37,222,108,161,116,126,40,6542,358,48,310,260,131
"434",-99.87379,28.48916,219,297,128,549,79,21,46,201,72,160,74,134,41,6564,371,51,320,267,138
"435",-99.76288,25.04356,220,279,152,865,183,19,67,402,65,306,65,139,48,5033,356,71,285,254,152
"436",-98.59057,27.1516,222,291,139,572,106,19,51,215,81,164,88,133,44,5917,364,63,301,266,155
"437",-99.12685,27.37706,226,299,139,502,95,16,52,195,66,134,73,135,43,6221,372,62,310,272,157
"438",-99.14932,26.58448,229,300,143,538,109,16,57,220,66,165,74,128,42,6103,371,70,301,272,160
"439",-99.57767,27.6324,230,306,143,452,88,14,55,183,55,123,60,133,42,6362,379,66,313,278,161
"440",-99.15073,28.54708,215,293,126,573,84,22,45,216,76,160,81,139,43,6489,368,47,321,263,144
"441",-97.70485,26.68918,225,286,149,663,132,18,53,262,93,184,108,104,40,5338,342,83,259,265,195
"442",-99.18431,28.57073,216,293,126,571,82,23,44,211,77,159,82,138,42,6499,368,47,321,263,145
