"AUC","AUC.diff","ORate.MPT","ORate.10PT","TSS.MPT","TSS.10PT","bio1.contribution","bio2.contribution","bio4.contribution","bio8.contribution","bio9.contribution","bio10.contribution","bio12.contribution","bio14.contribution","bio15.contribution","bio1.permutation.importance","bio2.permutation.importance","bio4.permutation.importance","bio8.permutation.importance","bio9.permutation.importance","bio10.permutation.importance","bio12.permutation.importance","bio14.permutation.importance","bio15.permutation.importance","type","filter"
0.833930888376856,0.0316289528929852,0.00317460317460319,0.103072196620584,0.0572253968253968,0.511527803379416,0.96648,47.55248,6.83782,0.95928,20.69754,4.7208,2.14544,12.52608,3.5941,0.05364,16.38746,17.62446,5.61622,20.84476,21.1775,3.00048,10.46574,4.8297,"100","pca2"
0.83280805171531,0.0270890194572452,0.0032258064516129,0.0966717869943676,0.0607741935483871,0.511128213005632,2.41466,46.26706,7.32222,0.85746,20.67416,4.15684,2.06898,12.70658,3.53204,1.7749,17.42678,17.99824,4.99086,21.82764,18.21728,3.20738,9.39518,5.16174,"100","pca2"
0.830924359959037,0.0249743599590374,0.0096774193548387,0.103020993343574,0.0698225806451613,0.516379006656426,2.81924,46.72516,6.93176,0.8323,20.38882,3.73526,2.4102,12.45942,3.69786,0.01688,14.64408,19.21664,5.55248,22.29078,22.15572,2.87048,8.73936,4.51358,"100","pca2"
0.834879774705581,0.0250526779313876,0.0129032258064516,0.093394777265745,0.0699967741935483,0.522905222734255,2.86508,47.6531,6.55044,0.81648,21.1525,3.05034,2.24472,12.35394,3.31338,1.19966,14.3307,19.08816,4.45472,21.77642,22.73912,2.72858,8.40744,5.2752,"100","pca2"
0.834359318996416,0.0167329390681004,0.0032258064516129,0.0899129544290835,0.0552741935483871,0.516387045570917,1.30328,46.36786,7.18558,0.89676,20.37586,5.03422,2.2509,13.34622,3.23934,2.24676,16.23802,18.27664,4.56362,20.0204,22.13672,2.46984,9.20914,4.83886,"100","pca2"
0.831971594982079,0.0146435304659498,0.0032258064516129,0.0932411674347158,0.0510741935483871,0.516358832565284,1.73406,47.63804,6.91134,1.15776,20.8406,4.11056,2.3539,11.85652,3.3972,2.07586,15.29698,19.06994,4.27524,22.17158,21.15706,3.01768,8.47248,4.46318,"100","pca2"
0.831715629800307,0.0230959523809524,0.0032258064516129,0.0997439836149514,0.0564741935483871,0.513256016385049,2.96588,46.4403,6.83822,0.98796,21.72952,2.99746,2.31248,12.0364,3.69176,0.62022,17.1988,18.0421,4.79162,22.7525,18.75484,3.31102,9.26924,5.2596,"100","pca2"
0.833472068612391,0.0156514234511009,0.0032258064516129,0.0901689708141321,0.0476741935483871,0.521131029185868,3.35404,46.63638,6.90338,0.89882,21.46978,2.6054,2.62512,11.76838,3.73872,0.54178,14.93442,18.4605,5.67032,21.67956,21.22294,2.47394,9.68368,5.33282,"100","pca2"
0.834219457245264,0.0356304249871992,0.0032258064516129,0.102764976958525,0.0517741935483871,0.520435023041475,2.1158,47.67196,6.83414,0.79884,21.3182,3.47898,1.89722,12.68588,3.19898,0.7186,14.59986,19.21222,5.14446,22.78104,21.29972,2.82902,8.72472,4.69042,"100","pca2"
0.834308640552995,0.016853801843318,0.0032258064516129,0.0933435739887353,0.0582741935483871,0.511756426011265,2.48432,47.39386,7.24068,0.9683,20.76742,3.68288,1.71466,12.6267,3.1212,0.063,17.27712,18.53288,5.24886,22.71262,18.16328,2.54794,10.5276,4.92672,"100","pca2"
