"AUC","AUC.diff","ORate.MPT","ORate.10PT","TSS.MPT","TSS.10PT","bio15.contribution","bio17.contribution","bio18.contribution","bio19.contribution","bio3.contribution","bio6.contribution","bio7.contribution","bio10.contribution","bio12.contribution","bio15.permutation.importance","bio17.permutation.importance","bio18.permutation.importance","bio19.permutation.importance","bio3.permutation.importance","bio6.permutation.importance","bio7.permutation.importance","bio10.permutation.importance","bio12.permutation.importance","type","filter"
0.837931422898317,0.0562114228983168,0.000968523002421318,0.103091553496859,0.00283147699757866,0.497508446503141,9.7968,4.78306,12.97126,5.70724,0.6065,25.36506,14.18122,1.43156,25.15732,1.40504,10.80804,3.95894,0.58228,1.1586,30.1173,15.71302,4.41812,31.83866,"100","pca3"
0.837481279315951,0.0557012793159514,0.000484261501210659,0.100198851341077,0.0035157384987893,0.499901148658923,9.67408,5.08264,13.07738,6.15714,0.53146,26.35988,13.33124,1.40098,24.38522,1.3353,11.20172,3.90198,0.57442,1.15946,30.29194,15.62534,4.2723,31.63762,"100","pca3"
0.838173856019932,0.0563738560199319,0.000484261501210659,0.100670245990806,0.00321573849878929,0.500845492507983,10.31388,4.56092,12.58616,5.60896,0.47864,25.5827,14.22108,1.36736,25.28028,1.35926,11.07204,3.88466,0.41932,1.22452,30.085,15.5108,4.24312,32.20132,"100","pca3"
0.837527076241944,0.0557070762419436,0.000484261501210659,0.101156846919559,0.00331573849878932,0.498443153080441,10.11908,4.60476,12.48654,5.56086,0.42384,24.86968,14.49802,1.84164,25.59554,1.33822,10.96936,3.72912,0.493,1.18196,30.37608,15.7742,4.40366,31.7344,"100","pca3"
0.837595673813618,0.0557356738136178,0.000484261501210659,0.103091553496859,0.00331573849878928,0.495408446503141,10.76406,4.7921,13.72516,6.17584,0.59318,24.99452,13.08192,1.27496,24.59824,1.27936,11.4705,3.73698,0.67378,1.14496,30.74856,15.44546,4.12562,31.3747,"100","pca3"
0.837467774678036,0.0556077746780363,0.000484261501210659,0.100660888280638,0.00321573849878933,0.499439111719362,9.67278,4.90336,12.31576,5.6859,0.60062,25.61004,14.14718,1.57752,25.4869,1.17384,11.60386,3.7013,0.54724,1.2327,29.82544,15.83358,4.36046,31.72156,"100","pca3"
0.837334838462528,0.0555748384625282,0.000484261501210659,0.103576984711841,0.00331573849878928,0.494638753786948,9.22474,4.8955,12.7323,5.60388,0.55928,25.92378,14.18518,1.44166,25.4337,1.31626,11.20134,4.14132,0.57416,1.2319,30.42,15.79582,4.54042,30.77876,"100","pca3"
0.837834937303342,0.0558949373033419,0.000484261501210659,0.10309272321063,0.00341573849878927,0.497923015288159,9.26418,5.03266,13.02644,6.0218,0.50348,25.61496,13.42848,1.56582,25.54214,1.25,11.77606,3.4353,0.58542,1.20752,29.82244,15.93698,4.17952,31.80674,"100","pca3"
0.838218482647296,0.0564584826472962,0.000968523002421318,0.103578154425612,0.0030314769975786,0.501037584073177,9.59296,4.78918,13.05546,6.21002,0.49244,26.374,13.1586,1.4049,24.92248,1.18102,11.27074,3.87464,0.44422,1.06478,29.79582,15.97988,4.2264,32.16252,"100","pca3"
0.838331318793791,0.0566113187937912,0.000484261501210659,0.0982653144775473,0.00331573849878928,0.502334685522453,9.20154,5.10736,14.07606,5.94638,0.55248,25.30336,13.64358,1.58656,24.58268,1.26996,11.02228,3.9222,0.45352,1.12532,30.1703,15.84076,4.17624,32.01936,"100","pca3"
0.837497502661099,0.0555975026610988,0.000484261501210659,0.102631855984841,0.00351573849878926,0.497168144015159,9.6396,5.02134,12.3378,6.23262,0.50054,26.27298,13.5303,1.38018,25.0847,1.3114,11.23944,3.721,0.53652,1.15518,30.47514,16.1758,4.42936,30.95616,"100","pca3"
0.83825005439169,0.0564700543916904,0.000968523002421318,0.100694809979998,0.00323147699757862,0.501405190020002,9.64586,4.90306,13.18972,5.98944,0.438,25.96622,13.27786,1.24254,25.3473,1.32554,11.58938,3.58634,0.51702,1.09204,30.39552,15.7785,4.31414,31.40152,"100","pca3"
0.837991772818191,0.0563117728181914,0.000484261501210659,0.103090383783088,0.00331573849878928,0.494809616216912,10.32312,4.75168,13.32722,5.61698,0.49936,25.6488,13.40908,1.37434,25.04942,1.27154,11.42568,3.89204,0.53792,1.17962,30.25786,15.82916,4.03572,31.5704,"100","pca3"
0.837282866032682,0.0554028660326818,0.000484261501210659,0.102137067059691,0.00381573849878931,0.496478671439099,9.95264,4.91892,12.1222,6.30258,0.504,26.16142,13.61622,1.34672,25.07526,1.3584,11.21198,3.75322,0.4817,1.07406,29.91814,15.8736,4.29154,32.03734,"100","pca3"
0.837957179703127,0.0562571797031266,0.000484261501210659,0.0992350071937397,0.00381573849878931,0.50186499280626,10.15084,4.6135,12.33284,5.7812,0.481,26.16268,14.31676,1.40248,24.7587,1.16548,11.74618,3.58072,0.55032,1.25386,30.07,15.47438,4.35024,31.80882,"100","pca3"
