"AUC","AUC.diff","ORate.MPT","ORate.10PT","TSS.MPT","TSS.10PT","bio_2.contribution","bio_4.contribution","bio_5.contribution","bio_7.contribution","bio_13.contribution","bio_15.contribution","bio_18.contribution","bio_19.contribution","bio_2.permutation.importance","bio_4.permutation.importance","bio_5.permutation.importance","bio_7.permutation.importance","bio_13.permutation.importance","bio_15.permutation.importance","bio_18.permutation.importance","bio_19.permutation.importance","type","filter"
0.942482456140351,0.0169757894736842,0.0111111111111111,0.142690058479532,0.396888888888889,0.743309941520468,0.69614,0.3845,95.11054,1.15386,0.1693,1.21054,1.19406,0.08104,2.69334,0.11118,87.26476,1.92516,0.08788,7.32502,0.44726,0.14538,"100","pca2"
0.942866081871345,0.0194483040935673,0.0111111111111111,0.122222222222222,0.419188888888889,0.764677777777778,1.11906,0.45376,95.34342,0.65144,0.10038,1.16996,0.86686,0.2951,2.9626,0,84.9969,1.6574,0.0713,9.63804,0.38518,0.28852,"100","pca2"
0.941132748538012,0.0164205847953216,0.0111111111111111,0.109356725146199,0.417188888888889,0.775043274853801,1.94774,0.43214,94.462,0.52624,0.26458,1.22286,0.79512,0.34928,2.57148,0.0416,87.8373,1.96566,0.0844,7.18348,0.09672,0.21936,"100","pca2"
0.938455409356725,0.0192676315789474,0.0111111111111111,0.14327485380117,0.410188888888889,0.74392514619883,0.98274,0.3565,95.12446,0.71194,0.24666,1.3483,0.9811,0.2483,3.90896,0,88.36628,2.00588,0.04372,5.01874,0.366,0.29042,"100","pca2"
0.940661988304094,0.0155153216374269,0.0111111111111111,0.164912280701754,0.398388888888889,0.721987719298246,1.71742,0.28902,94.42042,0.87776,0.1428,1.29192,0.91798,0.3427,3.17234,0,89.17506,1.54716,0.07858,5.43192,0.18238,0.41256,"100","pca2"
0.942660380116959,0.0182803801169591,0.0222222222222222,0.111111111111111,0.416277777777778,0.774988888888889,1.11076,0.47682,94.88842,1.17216,0.11332,1.09262,0.9821,0.1638,3.87714,0.11882,86.6676,1.95008,0.1428,6.39608,0.42824,0.41928,"100","pca2"
0.940254824561404,0.0161070467836258,0.0111111111111111,0.132748538011696,0.419488888888889,0.756251461988304,1.1938,0.56124,94.71954,0.76344,0.16578,1.34456,1.02612,0.22556,3.68658,0.16016,88.21734,1.75766,0.0093,5.52604,0.27092,0.37198,"100","pca2"
0.942619883040936,0.0235109941520468,0.0222222222222222,0.132163742690059,0.404177777777778,0.757536257309941,1.14984,0.4845,95.24462,0.608,0.13424,1.15352,0.87626,0.34898,2.47242,0.0458,89.16254,1.51606,0.03802,6.1792,0.24722,0.3387,"100","pca2"
0.940473099415205,0.0162469005847953,0.0105263157894737,0.121052631578947,0.403073684210526,0.766847368421053,0.77764,0.37436,95.28378,1.05966,0.17836,1.12746,0.91268,0.28606,3.18982,0,89.02642,1.99796,0.09508,5.08494,0.32762,0.27822,"100","pca2"
0.939512865497076,0.0164639766081871,0.0111111111111111,0.12046783625731,0.402088888888889,0.76703216374269,1.5439,0.5917,94.72186,0.44462,0.13844,1.21762,1.03606,0.30578,3.87144,0.18672,86.60924,1.77356,0.03676,6.80204,0.38038,0.33982,"100","pca2"
0.940451461988304,0.0191129824561404,0.0222222222222222,0.141520467836257,0.407977777777778,0.747379532163743,0.9503,0.5328,95.31034,0.53362,0.238,1.17078,0.95436,0.3098,3.33502,0.01396,88.23314,1.57548,0.15336,5.68118,0.5314,0.47644,"100","pca2"
0.94351432748538,0.0162856725146199,0.0111111111111111,0.142105263157895,0.384788888888889,0.744294736842105,0.97516,0.45526,95.37558,0.67814,0.19972,1.23648,0.89852,0.18112,2.6472,0.12848,88.806,1.83056,0.03032,6.05006,0.274,0.23338,"100","pca2"
0.939843859649123,0.0170761403508772,0.0111111111111111,0.142690058479532,0.420788888888889,0.745009941520468,1.10988,0.44822,95.39078,0.7137,0.12428,1.16128,0.83416,0.2177,3.4063,0.23552,89.3078,1.58714,0,4.73458,0.30988,0.41878,"100","pca2"
0.939353801169591,0.0220915789473684,0.0222222222222222,0.143859649122807,0.383377777777778,0.741040350877193,0.82242,0.68392,95.27806,0.3788,0.17906,1.22992,1.01742,0.41042,4.32926,0.20906,86.79452,2.14318,0.09592,5.61676,0.3917,0.41964,"100","pca2"
0.941138888888889,0.02311,0.0222222222222222,0.153216374269006,0.402177777777778,0.735083625730994,1.24716,0.46038,95.07958,0.35468,0.21588,1.26984,1.03144,0.341,4.00146,0.02688,87.62858,1.42466,0.1253,6.1298,0.3441,0.31918,"100","pca2"
0.941526754385965,0.0192323099415205,0.0333333333333333,0.142690058479532,0.412066666666667,0.745009941520468,1.30308,0.69276,95.25494,0.16356,0.0781,1.20006,1.00492,0.30254,2.98974,0.30658,88.3679,1.7359,0.04342,5.84576,0.3795,0.33118,"100","pca2"
0.942856725146199,0.0231254970760234,0.0105263157894737,0.132163742690058,0.391873684210526,0.754336257309941,1.41768,0.54374,95.06308,0.26086,0.1945,1.20282,0.88936,0.42792,2.25678,0.37072,88.27002,1.37622,0.0107,7.01092,0.3966,0.30802,"100","pca2"
