"","name","decimalLongitude","decimalLatitude","stateProvince","issues","geodeticDatum","country","locality","catalogNumber","institutionCode","recordNumber","county","datasetName","infraspecificEpithet"
"1118","Lophuromys woosnami",28.8,-3.0667,NA,"gass84","WGS84","Congo, Democratic Republic of the","Muusi","32798 RMCA 31455-M-","RMCA",NA,NA,NA,NA
"1119","Lophuromys woosnami",28.75,-3.95,NA,"gass84","WGS84","Congo, Democratic Republic of the","Minembwe","32741 RMCA 31380-M-","RMCA",NA,NA,NA,NA
"1121","Lophuromys woosnami",29.25,-1.45,NA,"gass84,iddatunl","WGS84","Congo, Democratic Republic of the","Gitebe","3452 RMCA 82.011-M-0577","RMCA",NA,NA,NA,NA
"1122","Lophuromys woosnami",28.8833,-2.0167,NA,"gass84","WGS84","Congo, Democratic Republic of the","Bunguri","275 RMCA 28964-M-","RMCA",NA,NA,NA,NA
"1123","Lophuromys woosnami",29.25,-1.5333,NA,"gass84,iddatunl","WGS84","Congo, Democratic Republic of the","Shaheru","3457 RMCA 82.011-M-0582","RMCA",NA,NA,NA,NA
"1124","Lophuromys woosnami",28.6667,-2.25,NA,"gass84","WGS84","Congo, Democratic Republic of the","Kahuzi","272 RMCA 28961-M-","RMCA",NA,NA,NA,NA
"1128","Lophuromys woosnami",28.5,-2.3167,NA,"gass84","WGS84","Congo, Democratic Republic of the","Kamugondo","299 RMCA 28987-M-","RMCA",NA,NA,NA,NA
"1132","Lophuromys woosnami",29.9,0.3833,NA,"gass84,iddatunl","WGS84","Congo, Democratic Republic of the","Kalindera ruwenzori","3440 RMCA 82.011-M-0565","RMCA",NA,NA,NA,NA
"1133","Lophuromys woosnami",29.675556,-1.384444,NA,"cdround,preneglat","WGS84","Uganda","Muhavura-Gahinga Saddle","132537","MVZ","304",NA,NA,"prittiei"
"1135","Lophuromys woosnami",28.6667,-2.2667,NA,"gass84","WGS84","Congo, Democratic Republic of the","Mugaba","270 RMCA 28959-M-","RMCA",NA,NA,NA,NA
"1136","Lophuromys woosnami",28.6,-2.3,NA,"gass84","WGS84","Congo, Democratic Republic of the","Mugaba","271 RMCA 28960-M-","RMCA",NA,NA,NA,NA
"1139","Lophuromys woosnami",29.2667,-1.5,NA,"gass84,iddatunl","WGS84","Congo, Democratic Republic of the","Baruta","3435 RMCA 82.011-M-0560","RMCA",NA,NA,NA,NA
"1141","Lophuromys woosnami",29.8167,0.3333,NA,"gass84,iddatunl","WGS84","Congo, Democratic Republic of the","Kalonge","3441 RMCA 82.011-M-0566","RMCA",NA,NA,NA,NA
"1143","Lophuromys woosnami",29.1667,-1.3333,NA,"gass84,iddatunl","WGS84","Congo, Democratic Republic of the","Muvo","3455 RMCA 82.011-M-0580","RMCA",NA,NA,NA,NA
"1146","Lophuromys woosnami",29.2667,-1.4333,NA,"gass84,iddatunl","WGS84","Congo, Democratic Republic of the","Mushumangabo","3454 RMCA 82.011-M-0579","RMCA",NA,NA,NA,NA
